sep=,
OS,Browser,KULNetwork,latency,socketTimeDiff


"MacOS","Chrome",true,6.0703125,20.9296875
"Android","Chrome",true,19,658
"Windows","Chrome",true,15.75,1571.25

"Android","Chrome",true,144.375,721.625
"IOS","Firefox",true,38.83984375,-126.83984375
"Android","Chrome",false,51.275390625,-1313.275390625
"Android","Chrome",true,7.1875,-2053.1875
"Android","Chrome",true,181.3125,-532.3125
"Windows","Chrome",true,3.625,-8.625
"MacOS","Safari",true,3.5,11.5
"Windows","Chrome",false,0,711
"IOS","Firefox",true,35.53125,-0.53125
"IOS","Firefox",false,34.75,6.25
"Android","Chrome",true,10.67578125,1146.32421875
"Windows","Chrome",false,4.203943311294051,-7.203943311294051
"IOS","Firefox",true,38.7421875,-11.7421875
"Android","Chrome",false,19.375,-81.375
"Windows","Chrome",true,7.875,-1012.875
"Windows","Chrome",true,5.125,-3666.125
"Windows","Firefox",false,12.546875,598.453125
"Android","Chrome",false,0,212
"Windows","Chrome",false,6.125,-1064.125
"Android","Chrome",true,12.875,-3300.875
"Android","Chrome",false,32.75,652.25
"IOS","Firefox",true,21.484375,10.515625
"IOS","Firefox",true,8.3125,1.6875
"MacOS","Chrome",true,4.5107421875,4.4892578125
"Android","Chrome",false,29.46875,-1056.46875
"Android","Chrome",true,16.25,1173.75
"Windows","Chrome",true,9.625,-1369.625
"IOS","Firefox",false,7.031982421875,26.968017578125
"Android","Chrome",true,7.875,361.125
"Android","Chrome",false,28.265625,654.734375
"Android","Chrome",true,11.75,637.25
"Windows","Chrome",true,4.25,2232.75
"Android","Chrome",true,21.734375,96786.265625
"Android","Chrome",true,15,96788
"IOS","Firefox",false,44.521484375,-26.521484375
"Windows","Chrome",true,3.109375,-2.109375
"Android","Chrome",false,11,953
"Windows","Chrome",true,5.3125,247.6875
"Windows","Chrome",true,4.71875,-224.71875
"Windows","Chrome",true,4.5,-560.5
"Windows","Chrome",false,12.875,-1556.875
"Windows","Chrome",true,9.46875,424.53125
"Android","Chrome",false,19.4375,529.5625
"Windows","Chrome",true,4.75,202.25
"Android","Chrome",true,10,775
"Android","Chrome",true,12.9375,-190.9375
"Android","Chrome",true,14,834
"Android","Chrome",true,13.5,864.5
"Windows","Chrome",true,4.921875,-1880.921875
"Windows","Firefox",true,16.3955078125,2364.6044921875
"Android","Chrome",true,7.625,1178.375
"Android","Chrome",false,41.40625,814.59375
"Windows","Chrome",true,4.25,-160.25
"Windows","Chrome",true,3.5,-158.5
"MacOS","Safari",true,47.375,-47.375
"IOS","Firefox",false,47.2490234375,40.7509765625
"Android","Chrome",true,21.5,303.5
"Windows","Chrome",true,4.75,-2723.75
"IOS","Firefox",true,23.306220467257134,8.693779532742866
"Android","Chrome",true,71.59375,-287.59375
"Android","Chrome",true,13.78125,324.21875
"Android","Chrome",true,124.0390625,-595.0390625
"Android","Chrome",true,16.5,249.5
"UNIX","Firefox",true,110.625,-30.625
"IOS","Firefox",true,171.5,-207.5
"MacOS","Chrome",false,21.4375,-1.4375
"Windows","Firefox",false,11.90625,45.09375
"Windows","Firefox",false,15.3671875,-636.3671875
"Windows","Chrome",true,5.330999374389648,2427.6690006256104
"Android","Chrome",true,55.125,871.875
"IOS","Firefox",true,11.3125,24.6875
"Windows","Chrome",true,2.875,58115.125
"Android","Chrome",false,16.59375,599.40625
"Android","Chrome",false,23.404296875,565.595703125
"Android","Chrome",false,26.55078125,1023.44921875
"Windows","Chrome",true,3,-54
"Android","Chrome",true,11.93359375,805.06640625
"Android","Chrome",true,7.953125,265.046875
"Android","Chrome",false,11.6796875,473.3203125
"Android","Chrome",true,14.3515625,1401.6484375
"","Firefox",false,67.84375,2134.15625
"Android","Chrome",false,21.994140625,189.005859375
"Android","Chrome",true,52.66845703125,-191.66845703125
"MacOS","Safari",true,4.25,723.75
"Android","Chrome",true,9.125,657.875
"Android","Chrome",false,58.125,356.875
"IOS","Firefox",true,11.53125,-4.53125
"Android","Chrome",true,11.875,663.125
"Android","Chrome",true,13.541508425627105,673.4584915743729
"Android","Chrome",false,21.6875,641.3125
"Windows","Firefox",false,8.5810546875,608.4189453125
"Android","Chrome",true,12.625,1014.375
"Android","Chrome",true,15.875,1011.125
"Android","Chrome",true,10.860671997070312,88.13932800292969
"Windows","Firefox",true,6.71875,-964.71875
"Android","Chrome",true,9.421875,746.578125
"Android","Chrome",true,35.41748046875,813.58251953125
"Windows","Chrome",true,3.5,-739.5
"IOS","Firefox",true,7.5,18.5
"Android","Chrome",true,189.25,133.75
"IOS","Firefox",true,22.453125,14.546875
"IOS","Safari",true,8.576171875,4.423828125
"Android","Chrome",true,7.25,-206.25
"Windows","Firefox",false,17.875,-2990.875
"","Firefox",true,15.743858633562922,386.2561413664371
"Android","Chrome",true,11.5625,-82.5625
"Android","Chrome",true,7.08203125,1268.91796875
"Windows","Chrome",true,10.75,-1147.75
"Android","Chrome",false,17.5,1327.5
"Android","Edge",true,9.5,14354.5
"Windows","Chrome",false,11.5,-1583.5
"Android","Chrome",true,25.1875,-822.1875
"MacOS","Safari",true,3.375,-2.375
"Windows","Firefox",false,17.51708984375,21.48291015625
"Windows","Chrome",true,17.5,-3699.5
